32,,48,,49,,50,,59,,60,,61,,62,
2786.26,-470.63,2256.24,-1426.2,1313.9,-955.228,2666.63,-1507.45,2306.83,-2397.41,607.012,-2001.09,1982.09,-1722.86,975.887,-2277.31
2780.92,-470.012,2261.49,-1427.28,1311.9,-960.311,2671.83,-1508.65,2311.18,-2394.19,612.177,-1999.21,1986.77,-1720.32,974.614,-2282.53
2775.58,-469.348,2266.65,-1428.73,1309.65,-965.288,2677.07,-1509.67,2315.64,-2391.11,617.436,-1997.61,1990.86,-1716.91,973.519,-2287.78
2770.25,-468.585,2271.73,-1430.44,1307.15,-970.147,2682.39,-1510.18,2320.12,-2388.07,622.785,-1996.34,1994.3,-1712.84,972.614,-2293.08
2764.95,-467.701,2276.77,-1432.28,1304.4,-974.864,2687.72,-1509.88,2324.62,-2385.06,628.212,-1995.47,1997.11,-1708.31,971.869,-2298.4
2759.66,-466.71,2281.79,-1434.16,1301.37,-979.406,2692.89,-1508.55,2329.19,-2382.16,633.693,-1995.06,1999.4,-1703.51,971.226,-2303.73
2754.39,-465.659,2286.81,-1436.02,1298.03,-983.733,2697.62,-1506.08,2333.92,-2379.51,639.188,-1995.19,2001.29,-1698.53,970.621,-2309.07
2749.11,-464.611,2291.85,-1437.85,1294.4,-987.81,2701.6,-1502.52,2338.86,-2377.29,644.628,-1995.99,2002.81,-1693.42,970.013,-2314.4
2743.82,-463.64,2296.9,-1439.65,1290.49,-991.624,2704.59,-1498.09,2344.01,-2375.62,649.887,-1997.59,2003.96,-1688.22,969.405,-2319.74
2738.5,-462.817,2301.95,-1441.44,1286.35,-995.189,2706.49,-1493.1,2349.31,-2374.51,654.758,-2000.13,2004.69,-1682.95,968.842,-2325.08
2733.16,-462.197,2307.01,-1443.22,1282.04,-998.54,2707.44,-1487.85,2354.68,-2373.85,658.966,-2003.67,2004.97,-1677.63,968.402,-2330.43
2727.8,-461.809,2312.09,-1444.95,1277.6,-1001.72,2707.72,-1482.52,2360.09,-2373.44,662.234,-2008.09,2004.84,-1672.3,968.174,-2335.8
2722.42,-461.641,2317.18,-1446.61,1273.07,-1004.77,2707.67,-1477.18,2365.49,-2373.13,664.409,-2013.14,2004.41,-1667,968.231,-2341.17
2717.04,-461.635,2322.31,-1448.19,1268.46,-1007.71,2707.58,-1471.84,2370.9,-2372.81,665.537,-2018.52,2003.83,-1661.7,968.617,-2346.52
2711.66,-461.697,2327.45,-1449.68,1263.79,-1010.53,2707.61,-1466.5,2376.31,-2372.55,665.848,-2024.01,2003.2,-1656.41,969.338,-2351.84
2706.28,-461.714,2332.62,-1451.12,1259.03,-1013.21,2707.83,-1461.16,2381.72,-2372.51,665.648,-2029.5,2002.6,-1651.12,970.371,-2357.11
2700.91,-461.583,2337.79,-1452.51,1254.16,-1015.68,2708.2,-1455.84,2387.13,-2372.88,665.213,-2034.98,2002,-1645.83,971.675,-2362.32
